Номер удаленного элемента      Удаленное число                Время работы в наносекундах    Количество итераций
384                            5630                           3500                           23                            
385                            4803                           1200                           12                            
386                            6740                           1000                           12                            
387                            6720                           3900                           23                            
388                            4763                           1100                           12                            
389                            1366                           400                            12                            
390                            4536                           400                            12                            
391                            5897                           1000                           12                            
392                            9539                           900                            12                            
393                            6899                           1100                           12                            
394                            2674                           18600                          23                            
395                            8196                           500                            12                            
396                            82                             1000                           12                            
397                            8069                           1300                           12                            
398                            6881                           800                            12                            
399                            1106                           1800                           12                            
400                            9266                           800                            12                            
401                            3430                           1000                           12                            
402                            2031                           800                            12                            
403                            5387                           500                            12                            
404                            7439                           5700                           23                            
405                            4852                           5100                           23                            
406                            2830                           1100                           12                            
407                            9342                           3100                           23                            
408                            93                             1200                           12                            
409                            8460                           3000                           23                            
410                            4845                           300                            12                            
411                            830                            1000                           12                            
412                            7663                           3700                           23                            
413                            2848                           600                            12                            
414                            6720                           800                            12                            
415                            4037                           4800                           23                            
416                            8257                           300                            12                            
417                            2927                           1100                           12                            
418                            2724                           500                            12                            
419                            2006                           1400                           12                            
420                            8585                           900                            12                            
421                            2151                           5500                           23                            
422                            763                            4400                           23                            
423                            153                            1300                           12                            
424                            4543                           4500                           23                            
425                            7205                           4400                           23                            
426                            3684                           900                            12                            
427                            4675                           3300                           23                            
428                            4445                           900                            12                            
429                            8360                           2900                           23                            
430                            160                            5400                           23                            
431                            2436                           1200                           12                            
432                            9380                           900                            12                            
433                            5763                           6000                           23                            
434                            138                            1600                           23                            
435                            3529                           1700                           23                            
436                            7851                           900                            12                            
437                            2456                           2100                           23                            
438                            237                            1700                           23                            
439                            8199                           5200                           23                            
440                            3543                           500                            12                            
441                            3566                           4200                           23                            
442                            2875                           700                            12                            
443                            8225                           1300                           23                            
444                            9359                           300                            12                            
445                            789                            2300                           23                            
446                            6399                           800                            12                            
447                            5550                           1800                           12                            
448                            8632                           500                            12                            
449                            7203                           500                            12                            
450                            7571                           600                            12                            
451                            7225                           700                            12                            
452                            2                              3300                           23                            
453                            9256                           600                            12                            
454                            5034                           900                            12                            
455                            6208                           4100                           23                            
456                            4695                           8000                           23                            
457                            4317                           1600                           12                            
458                            2222                           3900                           23                            
459                            5904                           2600                           23                            
460                            2787                           4500                           23                            
461                            3792                           700                            12                            
462                            3925                           2600                           23                            
463                            1562                           900                            12                            
464                            5476                           1600                           12                            
465                            7212                           1600                           23                            
466                            1575                           2100                           23                            
467                            9518                           3300                           23                            
468                            4689                           4800                           23                            
469                            4085                           900                            12                            
470                            5406                           1100                           12                            
471                            598                            700                            12                            
472                            2140                           2300                           23                            
473                            9365                           500                            12                            
474                            1877                           700                            12                            
475                            5894                           400                            12                            
476                            7657                           2900                           23                            
477                            4577                           4900                           23                            
478                            7301                           1900                           12                            
479                            4930                           1200                           12                            
480                            4794                           1000                           12                            
481                            2045                           1300                           23                            
482                            9319                           500                            12                            
483                            4654                           300                            12                            
484                            8818                           4300                           23                            
485                            6595                           600                            12                            
486                            4784                           300                            12                            
487                            7872                           1300                           12                            
488                            2900                           1600                           12                            
489                            9405                           300                            12                            
490                            2106                           1500                           12                            
491                            1657                           2200                           23                            
492                            8993                           300                            12                            
493                            6336                           1800                           23                            
494                            6848                           15900                          23                            
495                            1684                           300                            12                            
496                            1919                           3500                           23                            
497                            8039                           2300                           23                            
498                            2974                           2000                           23                            
499                            6587                           300                            12                            
500                            7813                           1400                           12                            
501                            5818                           1200                           12                            
502                            7366                           1000                           12                            
503                            8133                           200                            12                            
504                            450                            700                            12                            
505                            8572                           3900                           23                            
506                            3389                           700                            12                            
507                            7276                           1500                           12                            
508                            3370                           600                            12                            
509                            1892                           200                            12                            
510                            5373                           900                            12                            
511                            7412                           800                            12                            
512                            3140                           700                            12                            
513                            8109                           3300                           23                            
514                            6580                           600                            12                            
515                            3681                           3600                           23                            
516                            7074                           500                            12                            
517                            5957                           3500                           23                            
518                            235                            500                            12                            
519                            3991                           1300                           23                            
520                            5187                           1000                           12                            
521                            676                            1200                           12                            
522                            2113                           1500                           23                            
523                            8946                           300                            12                            
524                            1397                           4300                           12                            
525                            6861                           200                            12                            
526                            3919                           700                            12                            
527                            4504                           1900                           23                            
528                            753                            1000                           12                            
529                            6563                           900                            12                            
530                            907                            800                            12                            
531                            3286                           3900                           12                            
532                            7782                           800                            12                            
533                            748                            300                            12                            
534                            1086                           700                            12                            
535                            8523                           700                            12                            
536                            3346                           200                            12                            
537                            8423                           300                            12                            
538                            5570                           600                            12                            
539                            8664                           2800                           23                            
540                            7459                           600                            12                            
541                            5018                           800                            12                            
542                            8102                           200                            12                            
543                            1234                           800                            12                            
544                            2476                           3700                           23                            
545                            6573                           1300                           23                            
546                            2168                           2400                           23                            
547                            9122                           1100                           12                            
548                            857                            3700                           23                            
549                            4828                           900                            12                            
550                            5369                           3000                           23                            
551                            5622                           1600                           12                            
552                            1112                           1900                           12                            
553                            627                            1300                           12                            
554                            4624                           500                            12                            
555                            3157                           1400                           12                            
556                            576                            3500                           23                            
557                            501                            1300                           12                            
558                            2843                           500                            12                            
559                            8270                           1100                           23                            
560                            6024                           3400                           23                            
561                            892                            200                            12                            
562                            5760                           1000                           12                            
563                            3067                           3600                           23                            
564                            1998                           2300                           23                            
565                            4616                           1500                           23                            
566                            8618                           1900                           23                            
567                            997                            600                            12                            
568                            6718                           3000                           23                            
569                            4831                           300                            12                            
570                            3566                           500                            12                            
571                            7261                           400                            12                            
572                            5956                           1000                           23                            
573                            1160                           800                            12                            
574                            4279                           600                            12                            
575                            4251                           600                            12                            
576                            9030                           500                            12                            
577                            8639                           1000                           23                            
578                            8639                           200                            12                            
579                            1948                           700                            12                            
580                            158                            1200                           12                            
581                            3931                           2600                           23                            
582                            4145                           3800                           23                            
583                            7363                           700                            12                            
584                            3041                           500                            12                            
585                            3439                           2700                           23                            
586                            7638                           900                            12                            
587                            3563                           1300                           23                            
588                            6724                           2000                           23                            
589                            4473                           300                            12                            
590                            4429                           2400                           23                            
591                            8210                           700                            12                            
592                            2142                           300                            12                            
593                            2387                           300                            12                            
594                            1238                           3000                           12                            
595                            5035                           800                            12                            
596                            3850                           1300                           23                            
597                            8053                           1500                           23                            
598                            8127                           200                            12                            
599                            6892                           2300                           23                            
600                            136                            300                            12                            
601                            6007                           300                            12                            
602                            1610                           1400                           12                            
603                            2418                           800                            12                            
604                            3115                           400                            12                            
605                            78                             1100                           12                            
606                            2488                           500                            12                            
607                            8622                           2200                           23                            
608                            6545                           2400                           23                            
609                            3900                           1600                           23                            
610                            9093                           1000                           12                            
611                            7257                           3800                           23                            
612                            1057                           1900                           23                            
613                            7991                           800                            12                            
614                            3812                           1000                           12                            
615                            8535                           900                            12                            
616                            2513                           700                            12                            
617                            22                             3700                           23                            
618                            8662                           900                            12                            
619                            9339                           1800                           23                            
620                            6312                           300                            12                            
621                            2812                           400                            12                            
622                            4468                           2300                           23                            
623                            8679                           300                            12                            
624                            672                            400                            12                            
625                            4317                           900                            12                            
626                            780                            300                            12                            
627                            7033                           900                            12                            
628                            7165                           2400                           23                            
629                            7109                           1100                           12                            
630                            7262                           200                            12                            
631                            6995                           400                            12                            
632                            9275                           1500                           23                            
633                            1749                           500                            12                            
634                            8489                           400                            12                            
635                            8561                           400                            12                            
636                            489                            1800                           23                            
637                            8182                           300                            12                            
638                            5624                           2600                           23                            
639                            3851                           300                            12                            
640                            4199                           1200                           23                            
641                            5685                           2600                           23                            
642                            5362                           2200                           23                            
643                            4129                           2800                           23                            
644                            8048                           1900                           23                            
645                            750                            1600                           23                            
646                            5298                           300                            12                            
647                            8218                           600                            12                            
648                            4655                           700                            12                            
649                            4897                           1400                           23                            
650                            1514                           1900                           23                            
651                            4656                           1400                           23                            
652                            8990                           300                            12                            
653                            6765                           2500                           23                            
654                            7266                           200                            12                            
655                            17                             1600                           23                            
656                            4398                           1800                           23                            
657                            207                            500                            12                            
658                            2394                           1500                           23                            
659                            1657                           600                            12                            
660                            407                            1800                           23                            
661                            7469                           900                            12                            
662                            5313                           400                            12                            
663                            3885                           600                            12                            
664                            9083                           1100                           12                            
665                            1029                           1500                           23                            
666                            7426                           400                            12                            
667                            4846                           200                            12                            
668                            6749                           1100                           23                            
669                            5488                           300                            12                            
670                            6908                           200                            12                            
671                            1704                           1800                           23                            
672                            1935                           700                            12                            
673                            4536                           300                            12                            
674                            2253                           300                            12                            
675                            7504                           1400                           12                            
676                            2283                           2300                           23                            
677                            6740                           400                            12                            
678                            4483                           300                            12                            
679                            2715                           600                            12                            
680                            8296                           400                            12                            
681                            971                            400                            12                            
682                            3483                           1600                           23                            
683                            3277                           700                            12                            
684                            2223                           200                            12                            
685                            4478                           100                            12                            
686                            3969                           1900                           23                            
687                            3401                           1100                           23                            
688                            2391                           300                            12                            
689                            4135                           200                            12                            
690                            2603                           700                            12                            
691                            2617                           200                            12                            
692                            1548                           300                            12                            
693                            3000                           800                            12                            
694                            4999                           800                            12                            
695                            1578                           200                            12                            
696                            8549                           400                            12                            
697                            6020                           400                            12                            
698                            3330                           3100                           23                            
699                            9093                           200                            12                            
700                            3131                           700                            12                            
701                            9064                           2500                           23                            
702                            6920                           200                            12                            
703                            7141                           700                            12                            
704                            5295                           1000                           23                            
705                            8619                           300                            12                            
